,Price[NIS],Property_type,City,Address,Rooms,Floor,Area[m^2],Parking_spots
156,3500000,Apartment,Tel Aviv-Yafo,Nissim Aloni St.  21,2.5,5.0,79,2
157,1350000,Rooftop apt,Bat Yam,Henrietta Szold St. ,3.0,1.0,85,0
158,3200000,Apartment,Tel Aviv-Yafo,Nissim Aloni St.  21,2.5,8.0,67,1
159,1390000,Apartment,Bat Yam,Rakhel ha-Meshoreret St.  5,3.5,4.0,80,0
160,1460000,Apartment,Bat Yam,Yoseftal St. ,2.5,4.0,75,0
161,1455000,Apartment,Rishon LeTsiyon,Chlenov St. ,3.0,4.0,85,1
162,9900000,Apartment,Tel Aviv-Yafo,Pinkas St.  64,3.5,7.0,145,2
163,11800000,Mini penthouse,Tel Aviv-Yafo,Leonardo da Vinci St. ,5.0,37.0,160,1
164,2190000,Apartment,Holon,Ezel St. ,5.0,5.0,120,0
165,2280000,Rooftop apt,Rishon LeTsiyon,HaGdud Haivri St. ,5.0,3.0,120,3
166,2450000,Rooftop apt,Rishon LeTsiyon,HaGdud Haivri St.  61,5.5,4.0,120,1
167,6250000,Apartment,Tel Aviv-Yafo,Nissim Aloni St.  7,4.0,23.0,141,2
168,3450000,Cottage/house,Rishon LeTsiyon,Ha-Zaharon St. ,6.0,3.0,210,2
169,1850000,Apartment,Holon,Kdoshei Kahir St.  10,4.5,1.0,106,1
170,9450000,Penthouse,Tel Aviv-Yafo,Bavli St. ,5.0,7.0,148,3
171,1150000,Apartment,Ramla,Yitshak Ben Zvi St.  16,5.0,3.0,100,0
172,1595000,Apartment,Rishon LeTsiyon,Natan Bernitski St. ,3.5,3.0,85,0
173,1825000,Apartment,Petah Tikva,Bialik St. ,4.0,1.0,95,1
174,3750000,Apartment,Tel Aviv-Yafo,Maze St. ,2.0,4.0,75,1
175,1440000,Apartment,Bat Yam,Dakar St. ,3.0,3.0,75,0
176,4080000,Garden apt,Tel Aviv-Yafo,Rav Tsair St. ,3.0,0.0,147,1
177,3750000,Apartment,Tel Aviv-Yafo,Rav Tsair St. ,3.0,1.0,82,1
178,4230000,Apartment,Tel Aviv-Yafo,Rav Tsair St. ,3.0,5.0,86,1
179,2550000,Rooftop apt,Holon,Jericho St.  12,5.0,5.0,180,1
180,1690000,Rooftop apt,Holon,Tsvi Graetz St. ,4.0,1.0,80,0
181,1450000,Apartment,Holon,Alufei Tsahal St.  9,3.0,0.0,70,1
182,1875000,Apartment,Bat Yam,Yoseftal St. ,4.0,5.0,100,1
183,1350000,Apartment,Bat Yam,HaRav Uziel St.  16,2.5,3.0,68,0
184,1830000,Apartment,Holon,Safed St.  11,4.0,1.0,93,0
185,2290000,Apartment,Holon,Yehuda ha-Nasi St. ,4.5,5.0,110,1
186,2520000,Apartment,Tel Aviv-Yafo,Bar Giyora St. ,3.0,0.0,47,0
187,3700000,Garden apt,Rishon LeTsiyon,Ha-Hityashvut St.  55,6.0,0.0,165,2
188,1900000,Apartment,Rishon LeTsiyon,Tsvi Hirschfeld St. ,4.0,5.0,100,1
189,3090000,Mini penthouse,Ramat Gan,Ahad HaAm St. ,5.0,23.0,124,2
190,1745000,Apartment,Rishon LeTsiyon,Kiryat Sefer St. ,4.0,1.0,114,1
191,1750000,Apartment,Bat Yam,Arlozorov St. ,3.5,2.0,85,1
192,7800000,Triplex,Tel Aviv-Yafo,Nakhalat Yitskhak St. ,6.5,31.0,240,2
193,4980000,Apartment,Tel Aviv-Yafo,Sheinkin St. ,4.0,3.0,90,1
194,2050000,Apartment,Rosh Haayin,Chaim Herzog St.  1,5.0,5.0,127,2
195,7600000,Duplex,Tel Aviv-Yafo,Nakhalat Yitskhak St. ,6.5,31.0,240,2
196,7600000,Rooftop apt,Tel Aviv-Yafo,Nakhalat Yitskhak St. ,6.5,31.0,240,2
197,1040000,Apartment,Bat Yam,Balfour St. ,1.5,1.0,44,0
198,1390000,Apartment,Bat Yam,Sheshet ha-Yamim St. ,2.5,2.0,65,1
199,1370000,Apartment,Bat Yam,Givati St. ,3.0,1.0,80,0
200,1580000,Apartment,Rishon LeTsiyon,Gissin St. ,3.0,1.0,85,0
201,1695000,Apartment,Beit Dagan,Katsanelson St.  12,4.0,3.0,90,1
202,2190000,Apartment,Rishon LeTsiyon,Samuel Luis Herbert St. ,5.5,3.0,112,1
203,2250000,Rooftop apt,Holon,Haim Weizman St. ,4.0,6.0,110,0
204,1925000,Apartment,Tel Aviv-Yafo,Ben Yehuda St. ,2.0,3.0,27,0
205,1690000,Apartment,Holon,Rehavam Zeevi St. ,4.0,2.0,87,0
206,2170000,Apartment,Yehud-Monosson,Remez St. ,5.0,5.0,127,1
207,1180000,Apartment,Ariel,Sheshet ha-Yamim St.  21,4.0,1.0,86,0
208,2560000,Garden apt,Yehud-Monosson,Remez St. ,4.5,0.0,117,1
209,3290000,Cottage/house,Rishon LeTsiyon,Ha-Rakefet St.  88,6.0,2.0,200,1
210,3890000,Cottage/house,Holon,Arlozorov St. ,5.5,3.0,180,0
211,4200000,Apartment,Tel Aviv-Yafo,Lilienblum St. ,3.0,4.0,70,1
212,2690000,Apartment,Rishon LeTsiyon,HaSadeh St. ,5.0,1.0,125,1
213,1320000,Apartment,Petah Tikva,Rambam St. ,3.5,1.0,90,0
214,1585000,Apartment,Petah Tikva,Nahalat Tsvi St. ,4.0,10.0,98,0
215,2980000,Rooftop apt,Rishon LeTsiyon,Arbel St. ,6.0,8.0,130,1
216,1665000,Apartment,Rishon LeTsiyon,Mishmar HaYarden St. ,4.0,3.0,100,0
217,2320000,Cottage/house,Ari'el,Derech Tat Aluf Uri Baron  40,6.0,2.0,240,0
218,2690000,Garden apt,Holon,Avshalom St. ,5.0,0.0,120,1
219,2490000,Apartment,Bat Yam,Ha-Sar Shapira St.  6,5.0,4.0,110,1
220,1195000,Apartment,Ramla,Abba Ahimeir St.  9,3.0,6.0,75,1
221,1550000,Apartment,Holon,Ha-Tayasim St. ,3.0,1.0,75,0
222,2140000,Apartment,Bat Yam,Yerushalayim St.  20,4.0,1.0,123,0
223,2440000,Apartment,Bat Yam,Masaryk St. ,4.0,4.0,102,1
224,1340000,Apartment,Bat Yam,Eli Cohen St.  14,3.5,4.0,85,0
225,3100000,Apartment,Ashdod,Yaffa Yarkoni St.  7,5.0,4.0,141,1
226,2550000,Apartment,Tel Aviv-Yafo,Ha-Keshet St.  23,5.0,2.0,118,1
227,2500000,Apartment,Ashdod,Kinor St. ,5.0,5.0,150,1
228,1450000,Apartment,Tel Aviv-Yafo,Nardur St.  26,3.0,1.0,82,0
229,1460000,Apartment,Holon,Tseelim St.  2,3.0,2.0,76,0
230,2990000,Rooftop apt,Holon,Metula St.  22,5.0,5.0,200,2
231,7490000,Duplex,Tel Aviv-Yafo,Uri Tsvi Grinberg St. ,5.0,11.0,200,2
232,1760000,Apartment,Rishon LeTsiyon,Lavontin St.  19,4.0,1.0,102,0
233,2250000,Duplex,Rishon LeTsiyon,Shalom Ash St.  2,5.0,2.0,156,0
234,1520000,Apartment,Bat Yam,Bar Yehuda St. ,3.0,3.0,81,0
235,2100000,Garden apt,Ramat Gan,Beer Ora St. ,3.0,0.0,82,0
236,1550000,Apartment,Bat Yam,Balfour St.  113,3.0,3.0,74,0
237,1440000,Apartment,Bat Yam,Sha'ul Bar St.  6,3.0,2.0,88,0
238,2290000,Apartment,Ramat Gan,Beer Ora St. ,4.0,5.0,109,1
239,3090000,Penthouse,Ramat Gan,Beer Ora St. ,4.0,6.0,102,1
240,1480000,Apartment,Bat Yam,Yerushalayim St. ,3.0,1.0,91,0
241,1530000,Apartment,Rishon LeTsiyon,He-Khaluts St. ,3.0,3.0,80,0
242,1240000,Apartment,Bat Yam,Tanin St.  3,2.0,2.0,57,0
243,5580000,Apartment,Tel Aviv-Yafo,Harav Reines St. ,4.0,4.0,108,1
244,6480000,Apartment,Tel Aviv-Yafo,Harav Reines St. ,5.0,4.0,124,1
245,1790000,Apartment,Holon,Arye Shenkar St.  42,3.5,1.0,97,1
246,1495000,Apartment,Ashdod,Sderot HaMeyasdim  47,4.5,1.0,102,0
247,2050000,Apartment,Yavne,HaSira St. ,5.0,1.0,130,2
248,1950000,Apartment,Rishon LeTsiyon,David Wolffsohn St. ,5.0,1.0,127,0
249,6900000,Mini penthouse,Tel Aviv-Yafo,Yaakov Mozer St. ,4.0,6.0,111,1
250,1495000,Apartment,Rishon LeTsiyon,Hazon Ish St. ,3.0,1.0,85,0
251,1180000,Apartment,Petah Tikva,Rothschild St.  44,2.5,3.0,63,0
252,1750000,Apartment,Bat Yam,Balfour St. ,5.0,1.0,100,0
253,1450000,Apartment,Petah Tikva,Ein Ganim St. ,3.0,1.0,82,1
254,1545000,Duplex,Ariel,Derech Tat Aluf Uri Baron  5,8.0,2.0,182,0
255,1390000,Apartment,Rishon LeTsiyon,Sderot Yaakov  61,3.0,3.0,63,0
256,1290000,Apartment,Bat Yam,Ha-Reshet St.  14,2.0,2.0,58,0
257,1450000,Apartment,Holon,Zeev Jabotinsky St. ,4.0,3.0,90,0
258,1490000,Apartment,Bat Yam,Dolfin St. ,3.0,1.0,77,0
259,1930000,Apartment,Ashdod,Afarsemon St.  11,4.0,15.0,110,1
260,1990000,Apartment,Rishon LeTsiyon,Bilu St. ,4.0,4.0,100,1
261,2150000,Apartment,Bat Yam,Rothschild St. ,5.0,1.0,120,0
262,1490000,Apartment,Bat Yam,Livorno St.  3,3.5,1.0,85,0
263,2540000,Apartment,Tel Aviv-Yafo,Mahal St.  2,4.0,3.0,104,1
264,2720000,Apartment,Tel Aviv-Yafo,Mahal St.  2,5.0,2.0,123,1
265,1650000,Apartment,Holon,Manya ve-Yisrael Shokhat St. ,3.5,2.0,85,1
266,1920000,Apartment,Holon,Bernstein St. ,4.0,4.0,100,1
267,4600000,Apartment,Tel Aviv-Yafo,Yehuda Burla St.  52,5.0,2.0,130,1
268,5490000,Apartment,Tel Aviv-Yafo,Bavli St. ,5.0,5.0,115,1
269,2950000,Apartment,Holon,Tzvi Tadmor ,5.0,11.0,127,3
270,1665000,Apartment,Rishon LeTsiyon,Kidush HaShem St. ,4.0,2.0,100,0
271,2280000,Garden apt,Ramla,Dugit St.  3,4.0,0.0,105,1
272,3580000,Apartment,Tel Aviv-Yafo,Arnon St. ,3.0,2.0,80,0
273,6200000,Apartment,Tel Aviv-Yafo,HaYarkon St. ,4.0,4.0,94,2
274,3850000,Penthouse,Tel Aviv-Yafo,Melchett St. ,4.0,3.0,110,0
275,3650000,Apartment,Tel Aviv-Yafo,Biltmore St. ,3.0,2.0,75,1
276,6000000,Duplex,Tel Aviv-Yafo,Yohanan HaSandlar St. ,5.0,5.0,165,2
277,5850000,Apartment,Tel Aviv-Yafo,Yosef ha-Nasi St. ,4.0,2.0,112,1
278,7450000,Apartment,Tel Aviv-Yafo,Trumpeldor St. ,4.0,4.0,120,1
279,3350000,Apartment,Tel Aviv-Yafo,Dov Hoz St. ,3.0,0.0,60,0
280,6900000,Duplex,Tel Aviv-Yafo,Shai Agnon St. ,5.0,8.0,230,2
281,1680000,Apartment,Petah Tikva,Savyon St. ,4.0,4.0,105,1
282,2620000,Duplex,Rishon LeTsiyon,Ha-Kormim St. ,5.0,6.0,115,1
283,1000000,Apartment,Jerusalem,Bostanai St.  33,2.0,3.0,1,0
284,1530000,Apartment,Bat Yam,Ha-Hagana St.  21,3.0,3.0,85,0
285,1180000,Apartment,Bat Yam,Hasar Pinkas St.  22,2.5,4.0,60,0
286,1270000,Apartment,Rishon LeTsiyon,Yehuda Leib Pinsker St.  25,2.0,4.0,60,0
287,2190000,Apartment,Bat Yam,Herzl St. ,4.5,2.0,115,1
288,1820000,Apartment,Rishon LeTsiyon,Stefan Weiz St. ,4.0,4.0,112,1
289,1660000,Apartment,Bat Yam,Ha-Reshet St. ,4.0,2.0,86,1
290,1795000,Apartment,Rishon LeTsiyon,Tsvi Frank St. ,4.5,1.0,110,1
291,1750000,Apartment,Rishon LeTsiyon,Karl Netter St. ,4.0,2.0,110,1
292,1290000,Apartment,Bat Yam,HaTsanhanim St.  6,3.5,2.0,57,0
293,2970000,Apartment,Rishon LeTsiyon,Shimshon Zelig St.  5,5.0,7.0,125,2
294,1460000,Apartment,Holon,Ha-Khim St.  20,4.0,3.0,70,0
295,1650000,Apartment,Rishon LeTsiyon,Bilu St. ,4.0,2.0,88,0
296,3470000,Duplex,Rishon LeTsiyon,Ha-Hakhsharot St. ,6.0,6.0,208,2
297,1985000,Apartment,Rishon LeTsiyon,Ha-Khelmonit St. ,4.0,5.0,100,1
298,1159000,Apartment,Ariel,Avner St.  9,3.0,1.0,82,0
299,1460000,Duplex,Ariel,Tsahal St.  23,6.0,2.0,148,0
300,1790000,Duplex,Ariel,Tsahal St.  24,6.0,1.0,170,0
301,1590000,Apartment,Rishon LeTsiyon,Natan Bernitski St.  34,4.0,1.0,100,0
302,1990000,Apartment,Rishon LeTsiyon,Ha-Khelmonit St. ,4.0,3.0,103,1
303,3050000,Apartment,Ashdod,Kinor St. ,5.0,9.0,207,1
304,1830000,Apartment,Bat Yam,HaHashmonaim St. ,4.0,4.0,91,1
305,1860000,Apartment,Rosh Haayin,Chana Robina St.  1,4.0,2.0,107,2
306,1440000,Garden apt,Ari'el,Derech HaTsiyonut  65,4.0,0.0,93,1
307,4350000,Garden apt,Tel Aviv-Yafo,Moshe Sneh St. ,5.0,0.0,160,2
308,2450000,Apartment,Ashdod,Ha-Tsiyonut St. ,5.0,10.0,170,1
309,1225000,Apartment,Ari'el,Ha-Tavor St.  4,3.5,2.0,89,1
310,1550000,Apartment,Rishon LeTsiyon,Beit Lekhem St.  9,3.5,2.0,92,1
311,2530000,Apartment,Tel Aviv-Yafo,Bar Kochva St. ,2.0,4.0,52,0
312,1295000,Apartment,Lod,Hativat Harel St.  2,4.0,2.0,90,1
